,Device,Batch size,Optimizer,LR,Hidden Dim,Training Time,Train Acc,Val Acc,Test Acc
0,cpu,64,adam,0.001,4,22.202066898345947,33.3625,33.99166666666667,34.13
1,cpu,64,adam,0.001,32,22.753937244415283,95.64791666666666,94.56666666666666,95.12
2,cpu,64,adam,0.001,64,23.67895817756653,97.19166666666666,96.525,96.8
3,cpu,64,adam,0.001,128,24.853068113327026,98.10833333333333,96.425,96.53
4,cpu,64,sgd,0.01,4,21.19923996925354,82.97916666666667,82.09166666666667,82.65
5,cpu,64,sgd,0.01,32,23.314559936523438,92.93125,92.45833333333333,92.94
6,cpu,64,sgd,0.01,64,24.677199840545654,93.55,93.05,93.49
7,cpu,64,sgd,0.01,128,23.671363830566406,93.88541666666667,93.60833333333333,94.1
8,cpu,128,adam,0.001,4,20.069331169128418,65.71458333333334,65.10833333333333,66.38
9,cpu,128,adam,0.001,32,21.10404396057129,93.7875,92.925,93.34
10,cpu,128,adam,0.001,64,22.60029101371765,96.4375,95.45,95.97
11,cpu,128,adam,0.001,128,24.154393911361694,97.73541666666667,96.3,96.72
12,cpu,128,sgd,0.01,4,20.192016124725342,81.05625,80.93333333333334,81.43
13,cpu,128,sgd,0.01,32,19.052993059158325,91.44583333333334,91.43333333333334,92.05
14,cpu,128,sgd,0.01,64,19.173183917999268,91.56666666666666,91.24166666666666,91.92
15,cpu,128,sgd,0.01,128,20.03195595741272,91.76458333333333,91.45833333333333,92.31
16,cpu,1024,adam,0.001,4,17.754258155822754,40.58541666666667,41.825,41.9
17,cpu,1024,adam,0.001,32,17.71076512336731,91.39583333333333,91.46666666666667,91.97
18,cpu,1024,adam,0.001,64,18.001580953598022,93.0375,92.70833333333333,93.05
19,cpu,1024,adam,0.001,128,18.1184241771698,94.625,94.15833333333333,94.6
20,cpu,1024,sgd,0.01,4,17.477235317230225,53.31875,53.15,54.65
21,cpu,1024,sgd,0.01,32,17.53837013244629,85.19166666666666,84.94166666666666,85.86
22,cpu,1024,sgd,0.01,64,17.841422080993652,86.21458333333334,86.075,87.12
23,cpu,1024,sgd,0.01,128,18.008393049240112,86.64583333333333,86.49166666666666,87.38
